№№ п/п,Наименование объектов,"Адрес, местонахождение, границы объекта","Общая площадь, кв.м",Топооснова,,GPS,
,,,,долгота,широта,долгота,широта
1,2,3,5,6,7,8,9
01.01.2014,парк Заневский,Таллинская ул -Громова ул- Гранитная ул- Малоохтинский пр,93408,,,"E 030,41613","N 59,91948"
01.02.2014,,,,,,"E 030,409114 ВГС84","N 59,921137 ВГС84"
01.03.2014,,,,,,"E 030,41463","N 59,91908"
01.04.2014,,,,,,"E 030,415143 ВГС84","N 59,918529 ВГС84"
01.05.2014,,,,,,"E 030,413974 ВГС84","N 59,918233 ВГС84"
02.01.2014,парк Малоохтинский,Республиканская ул - пр.Шаумяна- Перевозной пер-Малоохтинский пр,119805,,,"E 030,41302","N 59,93308"
02.02.2014,,,,,,"E 030,41442","N 59,93198"
02.03.2014,,,,,,"E 030,41462","N 59,93301"
02.04.2014,,,,,,"E 030,40878","N 59,93348"
02.05.2014,,,,,,"E 030,40706","N 59,93264"
03.01.2014,парк Полюстровский,Шоссе Революции-Метал-листов пр - Львовская ул-Тухачевского ул,519667,,,"E 030,43125","N 59,96466"
03.02.2014,,,,,,"E 030,42314","N 59,96459"
03.03.2014,,,,,,"E 030,42816","N 59,96717"
03.04.2014,,,,,,"E 030,43274","N 59,96073"
03.05.2014,,,,,,"E 030,42719","N 59,95977"
04.01.2014,"парк в кв.8 Ржевка Пороховые,",Передовиков пр -Косыгина по -Объездное ш.,132030,,,"E 030,27569","N 59,57163"
04.02.2014,,,,,,"E 030,27836","N 59,56540"
04.03.2014,,,,,,"E 030,27504","N 59,56484"
04.04.2014,,,,,,"E 030,27574","N 59,56572"
04.05.2014,,,,,,"E 030,26777","N 59,57226"
05.01.2014,Парк в кв.49 Ржевка -Пороховые,Передовиков пр -Энтузиастов пр-Индустриа-льный пр -Косыгина по,170460,,,"E 030,46089","N 59,94338"
05.02.2014,,,,,,"E 030,46756","N 59,94246"
05.03.2014,,,,,,"E 030,46632","N 59,94379"
05.04.2014,,,,,,"E 030,47246","N 59,94611"
05.05.2014,,,,,,"E 030,47411","N 59,94538"
06.01.2014,сад v больницы Мечникова,Пискаревский пр -Окт.ж/дорога -больница Мечникова,52270,,,"E 030,43064","N 59,98398"
06.02.2014,,,,,,"E 030,42766","N 59,98436"
06.03.2014,,,,,,"E 030,43238","N 59,98451"
06.04.2014,,,,,,"E 030,43101","N 59,98333"
06.05.2014,,,,,,"E 030,42930","N 59,98394"
07.01.2014,сад Бестужевский,Бестужевская ул -Пискаревский пр -трамвайное кольцо у б-цы Мечникова,61508,,,"E 030,42764","N 59,98172"
07.02.2014,,,,,,"E 030,42764","N 59,98302"
07.03.2014,,,,,,"E 030,42982","N 59,98254"
07.04.2014,,,,,,"E 030,42754","N 59,98095"
07.05.2014,,,,,,"E 030,42618","N 59,98131"
08.01.2014,сад Передовиков,Ириновский пр -Передовиков пр-Индустрмальный пр,219987,,,"E 030,46317","N 59,94926"
08.02.2014,,,,,,"E 030,46546","N 59,94387"
08.03.2014,,,,,,"E 030,46774","N 59,94175"
08.04.2014,,,,,,"E 030,46298","N 59,95172"
08.05.2014,,,,,,"E 030,46291","N 59,95337"
09.01.2014,сад Нева,"Ш. Революции-Среднеохтинский пр -Пискаревский пр,",83175,,,"E 030,41278","N 59,96032"
09.02.2014,,,,,,"E 030,41186","N 59,96203"
09.03.2014,,,,,,"E 030,41189","N 59,96054"
09.04.2014,,,,,,"E 030,41359","N 59,95953"
09.05.2014,,,,,,"E 030,41562","N 59,95990"
10.01.2014,сад у Ильинской церкви,Ш. Революции-Эфирная ул -река Охта,4992,,,"E 030,474673 ВГС84","N 59,965068 ВГС84"
11.01.2014,сад на углу шоссе Революции и,шоссе Революции -Коммуны ул,26607,,,"E 030,48350","N 59,96909"
11.02.2014,,,,,,"E 030,48319","N 59,96936"
11.03.2014,,,,,,"E 030,48167","N 59,96898"
11.04.2014,,,,,,"E 030,48458","N 59,96806"
11.05.2014,,,,,,"E 030,48306","N 59,96743"
12,сад на реке Охта,Шоссе Революции -о. Охта- Потапова ул,24057,,,"E 030,467423 ВГС84","N 59,963177 ВГС84"
13.01.2014,сад на улиие Эфирноной,река Охта -Эфирная ул,18067,,,"E 030,474735 ВГС84","N 59,964653 ВГС84"
13.02.2014,,,,,,"E 030,474924 ВГС84","N 59,964631 ВГС84"
13.03.2014,,,,,,"E 030,474678 ВГС84","N 59,964443 ВГС84"
13.04.2014,,,,,,"E 030,475053 ВГС84","N 59,964572 ВГС84"
13.05.2014,,,,,,"E 030,474495 ВГС84","N 59,9641314 ВГС84"
14.01.2014,бульвар Шаумяна,от Красногвардейской пл. до Гранитной ул,32750,,,"E 030,42395","N 59,92630"
14.02.2014,,,,,,"E 030,42595","N 59,92477"
14.03.2014,,,,,,"E 030,419633 ВГЗ84","N 59,928147 ВГЗ84"
14.04.2014,,,,,,"E 030,422423 ВГЗ84","N 59,925846 ВГЗ84"
14.05.2014,,,,,,"E 030,42154","N 59,92856"
15,бульвар Гранитный,от Новочеркасского пр до Громовой ул,11005,,,"E 030,42162","N 59,91888"
16,бульвар Рижский,от Новочеркасского пр до Громовой ул,9139,,,"E 030,41737","N 59,92101"
17.01.2014,бульвар Пискаревский,"от Свердловской набережной, до Непокоренных пр",78120,,,"E 030,41392","N 59,96860"
17.02.2014,,,,,,"E 030,41203","N 59,96360"
17.03.2014,,,,,,"E 030,41834","N 59,97474"
18.01.2014,бульвар Блюхера,от Пискаревского пр до Энергетиков пр,149611,,,"E 030,43235","N 59,97447"
18.02.2014,,,,,,"E 030,43359","N 59,97855"
18.03.2014,,,,,,"E 030,43698","N 59,97378"
19.01.2014,бульвар Энергетиков,от Бестужевской ул до Партизанской ул,99040,,,"E 030,57073","N 59,95629"
19.02.2014,,,,,,"E 030,63054","N 59,95673"
19.03.2014,,,,,,"E 030,43791","N 59,94446"
20.01.2014,бульвар Индустриальный,от Шоссе Революции до Ириновского пр,37161,,,"E 030,46583","N 59,95937"
20.02.2014,,,,,,"E 030,46371","N 59,96154"
20.03.2014,,,,,,"E 030,46841","N 59,95702"
21,"сквер у гостиницы 'Ладога""",Заневский пр- Шаумяна пр,4969,,,"E 030,42078","N 59,92979"
22.01.2014,сквер Весенний,Новочеркасский пр 12,12959,,,"E 030,41080","N 59,93568"
22.02.2014,,,,,,"E 030,41055","N 59,93527"
22.03.2014,,,,,,"E 030,41120","N 59,93512"
22.04.2014,,,,,,"E 030,41135","N 59,93627"
22.05.2014,,,,,,"E 030,41088","N 59,93655"
23.01.2014,"сквер у метро ""Ладожская""","Заневский пр-v метро ""Ладожская""",36225,,,"E 030,44046","N 59,93160"
23.02.2014,,,,,,"E 030,43931","N 59,93211"
23.03.2014,,,,,,"E 030,43940","N 59,93179"
23.04.2014,,,,,,"E 030,44128","N 59,93177"
23.05.2014,,,,,,"E 030,44066","N 59,93160"
24,"сквер у кинотеатра ""Охта""",угол Шаумяна пр - Заневский пр,4130,,,"E 030,42572","N 59,92002"
25.01.2014,сквер на ул. Гранитной,"от Новочеркасского пр до авто/парка Гранитная, 51",27632,,,"E 030,42572","N 59,92002"
25.02.2014,,,,,,"E 030,42606","N 59,91985"
25.03.2014,,,,,,"E 030,42836","N 59,92094"
25.04.2014,,,,,,"E 030,42936","N 59,92133"
25.05.2014,,,,,,"E 030,42987","N 59,92144"
26.01.2014,сквер у Ортопедического центра,"ул. Бестужевская ,д. 55 от Пискаревского пр до Энергетиков пр",23664,,,"E 030,43385","N 59,97776"
26.02.2014,,,,,,"E 030,43364","N 59,97858"
26.03.2014,,,,,,"E 030,43311","N 59,97799"
26.04.2014,,,,,,"E 030,43546","N 59,97809"
26.05.2014,,,,,,"E 030,43447","N 59,97747"
27.,сквер на ул. Стасовой,Стасовой ул -Буренина ул -Тухачевского ул,6045,,,"E 030,43361","N 59,96829"
28.,сквео v кинотеатоа «Ладога»,Шоссе Революции д. 31,7693,,,"E 030,43247","N 59,95987"
29.01.2014,сквер у стадиона ЛМЗ,стадион ЛМЗ- Ульянова ул- Среднеохтинскийпр-Шепетовская ул,21800,,,"E 030,41812","N 59,94798"
29.2,,,,,,"E 030,41819","N 59,94866"
29.03.2014,,,,,,"E 030,41739","N 59,94860"
29.04.2014,,,,,,"E 030,41826","N 59,94732"
29.05.2014,,,,,,"E 030,41756","N 59,94726"
30,"сквер на Среднеохтинском ,д. 50",от Шоссе Революции до Синявинской ул,560,,,"E 030,414544 ВГС84","N 59,958349 ВГС84"
31.01.2014,сквер на Свердловской набережной,Красногвардейская пл до Большеохтинского пр-река Нева,85169,,,"E 030,41073","N 59,94801"
31.2,,,,,,"E 030,41012","N 59,94841"
31.03.2014,,,,,,"E 030,41156","N 59,94822"
31.4,,,,,,"E 030,41100","N 59,94701"
31.05.2014,,,,,,"E 030,41021","N 59,94705"
32.1,сквер у дома Радио,Свердловская наб -Большеохтинский пр -Конторская ул,32184,,,"E 030,40915","N 59,94695"
32.2,,,,,,"E 030,40944","N 59,94749"
32.3,,,,,,"E 030,40922","N 59,94707"
32.4,,,,,,"E 030,40969","N 59,94670"
32.5,,,,,,"E 030,94590","N 59,94590"
33,сквер на ул.Панфилова,Б.Пороховская ул -Среднеохтинский пр -Панфилова ул,5399,,,"E 030,41652","N 59,95281"
34.1,сквео v магазина «Спорт­товары»,Красногвардейская пл-Шаумяна пр - река Охта,18334,,,"E 030,41549","N 59,94101"
34.2,,,,,,"E 030,41518","N 59,94148"
34.3,,,,,,"E 030,41445","N 59,94208"
34.4,,,,,,"E 030,41575","N 59,94501"
34.5,,,,,,"E 030,41585","N 59,94026"
35.1,сквер Ржевка,"Рябовское шоссе, ж/д платформа Ржевка",23751,,,"E 030,510210 ВГС84","N 59,984513 ВГС84"
35.2,,,,,,"E 030,508085 ВГС84","N 59,985886 ВГС84"
35.3,,,,,,"E 030,508322 ВГС84","N 59,985103 ВГС84"
35.4,,,,,,"E 030,507377 ВГС84","N 59,986080 ВГС84"
35.5,,,,,,"E 030,505897 ВГС84","N 59,885715 ВГС84"
36.1,сквер у завода Слоистые пластики,Шоссе Революции -Уманский пр -Индустриальный п£,22670,,,"E 030,47655","N 59,95985"
36.2,,,,,,"E 030,46483","N 59,96226"
36.3,,,,,,"E 030,46556","N 59,95908"
36.4,,,,,,"E 030,47469","N 59,95708"
36.5,,,,,,"E 030,46940","N 59,96236"
37.1,Сквер у завода Медполимеры,Потапова ул -Шоссе Революции -Индустриальный пр,15236,,,"E 030,45717","N 59,96044"
37.2,,,,,,"E 030,46022","N 59,96122"
37.3,,,,,,"E 030,45530","N 59,96046"
37.4,,,,,,"E 030,45566","N 59,96009"
37.5,,,,,,"E 030,46024","N 59,96108"
38.1,сквер на ул.Химиков,Химиков ул -Шоссе Революции -река Охта,31254,,,"E 030,47444","N 59,96721"
38.2,,,,,,"E 030,47920","N 59,96983"
38.3,,,,,,"E 030,48128","N 59,97060"
38.4,,,,,,"E 030,47025","N 59,96440"
38.5,,,,,,"E 030,46905","N 59,96345"
39.1,сквер на Ириновском пр.,Коммуны ул-Ириновский пр -Потапова ул,29247,,,"E 030,47685","N 59,96149"
39.2,,,,,,"E 030,48136","N 59,95124"
39.3,,,,,,"E 030,48541","N 59,96046"
39.4,,,,,,"E 030,47553","N 59,96416"
39.5,,,,,,"E 030,47302","N 59,96438"
40.1,Новочеркасский проспект,от Заневской площади до Гранитной ул,14046,,,"E 030,42230","N 59,92170"
40.2,,,,,,"E 030,42430","N 59,92068"
40.3,,,,,,"E 030,41971","N 59,92421"
41,Республиканская улица,от Малоохтинского пр до Новочеокасского пр,370,,,"E 030,41213","N 59,93374"
42,Перевозная улица,от Шаумяна пр до Стахановцев ул,3492,,,"E 030,41065","N 59,93135"
43.1,Заневский проспект,от Заневской пл до ж/д моста Косыгина,52824,,,"E 030,42923","N 59,93152"
43.2,,,,,,"E 030,41526","N 59,92939"
43.3,,,,,,"E 030,46234","N 59,93992"
44.1,Таллиннская улица,от Шаумяна пр до Малоохтинского пр,7806,,,"E 030,41692","N 59,92427"
44.2,,,,,,"E 030,41399","N 59,92316"
44.3,,,,,,"E 030,42094","N 59,92538"
45.1,Стахановцев улица,от Таллиннской ул до Перевозного пер.,11038,,,"E 030,40963","N 59,92708"
45.2,,,,,,"E 030,41128","N 59,92516"
45.3,,,,,,"E 030,40890","N 59,92860"
46.1,Транспортная развязка,от Свердловской наб. до Малоохтинского пр,64212,,,"E 030,40748","N 59,94268"
46.2,,,,,,"E 030,40742","N 59,94220"
46.3,,,,,,"E 030,40770","N 59,94285"
47.1,Мост. Ал. НЕВСКОГО,газоны под мостом,8076,,,"E 030,40387","N 59,92650"
47.2,,,,,,"E 030,40610","N 59,92705"
47.3,,,,,,"E 030,40332","N 59,92710"
48.1,Салтыковская дорога,от Стасовой ул до Ш. Революции,6800,,,"E 030,44351","N 59,96836"
48.2,,,,,,"E 030,44278","N 59,96522"
48.3,,,,,,"E 030,44320","N 59,27311"
49.1,Шафировский проспект,От Пискаревского пр до Индустриального пр,171983,,,"E 030,45508","N 59,98911"
49.2,,,,,,"E 030,43768","N 59,99114"
49.3,,,,,,"E 030,44004","N 59,99051"
49.4,,,,,,"E 030,45574","N 59,98989"
49.5,,,,,,"E 030,46927","N 59,98717"
50.1,Бестужевская улица,от Энергетиков пр до Пискаревского пр,10141,,,"E 030,43110","N 59,97790"
50.2,,,,,,"E 030,43795","N 59,97672"
50.3,,,,,,"E 030,42413","N 59,98129"
51.1,Шоссе Революции,от Свердловской набережной до Коммуны ул,105549,,,"E 030,43628","N 59,95975"
51.2,,,,,,"E 030,44148","N 59,96028"
51.3,,,,,,"E 030,44290","N 59,96197"
51.4,,,,,,"E 030,42746","N 59,95950"
51.5,,,,,,"E 030,41425","N 59,95900"
52.1,Апрельская улица,от Тухачевского ул до Среднеохтинского пр,19465,,,"E 030,41999","N 59,96383"
52.2,,,,,,"E 030,41658","N 59,96217"
52.3,,,,,,"E 030,42296","N 59,96507"
53.1,Тухачевского улица,от Шоссе Революции до Пискаревского пр,59965,,,"E 030,43384","N 59,96311"
53.2,,,,,,"E 030,43375","N 59,96077"
53.3,,,,,,"E 030,43299","N 59,96718"
53.4,,,,,,"E 030,42795","N 59,96875"
53.5,,,,,,"E 030,42586","N 59,96952"
54,Красногвардейская площадь,Якорная ул -Среднеохтинский пр -Большеохтинскии пр -Шаумяна пр,6106,,,"E 030,41747","N 59,94243"
55.1,Большая Пороховская улица,от Болыиеохтинского пр до Ириновского пр,18964,,,"E 030,42612","N 59,95355"
55.2,,,,,,"E 030,42530","N 59,95314"
55.3,,,,,,"E 030,42224","N 59,95326"
56.1,Большеохтинскии проспект,от Красногвардейской пл. до Шоссе Революции,12217,,,"E 030,41230","N 59,95361"
56.2,,,,,,"E 030,41322","N 59,95850"
"56,3",,,,,,"E 030,41161","N 59,94658"
56,Краснодонская улица,от Большеохтинского пр до Среднеохтинского пр,1500,,,"E 030,42204","N 59,95567"
57.1,Металлистов проспект,от Якорной ул до Пискаревского пр,40732,,,"E 030,42474","N 59,95905"
57.2,,,,,,"E 030,42373","N 59,95357"
57.3,,,,,,"E 030,42331","N 59,94935"
57.4,,,,,,"E 030,418303 ВГС 84","N 59,965780 ВГС84"
57.5,,,,,,"E 030,412037 ВГС 84","N 59,968551 ВГС84"
58,Пугачева улица,от Ульянова ул до Панфилова ул,1780,,,"E 030,41914","N 59,94974"
59.1,Партизанская улица,от Металлистов пр,8347,,,"E 030,42703","N 59,94501"
59.2,,до Энергетиков пр,,,,"E 030,43730","N 59,94749"
59.3,,,,,,"E 030,42373","N 59,94522"
60.1,Среднеохтинский проспект,от Красногвардейской пл. до Пискаревского пр,6338,,,"E 030,41669","N 59,94566"
60.2,,,,,,"E 030,41569","N 59,94468"
60.3,,,,,,"E 030,41686","N 59,96082"
61,Синявинская улица,от Большеохтинского пр до Среднеохтинского пр,2454,,,"E 030,42315","N 59,95715"
62,Тарасова улица,от Большеохтинского пр до Среднеохтинского пр,831,,,"E 030,41610","N 59,94885"
63,Ульянова улица,от Среднеохтинского пр до Металлистов пр,849,,,"E 030,41921","N 59,94898"
64.1,Якорная улица,от Энергетиков пр до Большеохтинского моста,24361,,,"E 030,42049","N 59,94280"
64.2,,,,,,"E 030,43704","N 59,94330"
64.3,,,,,,"E 030,41077","N 59,94079"
65.1,Ириновский проспект,от ж/д моста до Коммуны ул,64221,,,"E 030,47630","N 59,95777"
65.2,,,,,,"E 030,45086","N 59,95315"
65.3,,,,,,"E 030,48020","N 59,96155"
66.1,Красина улица,от Коммуны ул до Челябинской ул,14269,,,"E 030,49704","N 59,96891"
66.2,,,,,,"E 030,50145","N 59,97751"
66.3,,,,,,"E 030,48371","N 59,96638"
67.1,Лазо улица,от Ударников пр до Иоиновского пр,5021,,,"E 030,48670","N 59,95729"
67.2,,,,,,"E 030,485670","N 59,95812"
67.3,,,,,,"E 030,48859","N 59,95622"
68.1,Ударников проспект,от Передовиков пр до Коммуны ул,29552,,,"E 030,47687","N 59,95176"
68.2,,,,,,"E 030,49307","N 59,95624"
68.3,,,,,,"E 030,46498","N 59,94878"
69,Ржевская улица,от Челябинской ул ло Рябовского шоссе,1750,,,"E 030,50448","N 59,97871"
70,Отечественная улица,"от Лазо ул до Коммуны ул,",1478,,,"E 030,48973","N 59,95884"
71.1,Передовиков проспект,от Ириновского пр до Индустриального nD,19610,,,"E 030,27611","N 59,57232"
71.2,,,,,,"E 030,27657","N 59,56822"
71.3,,,,,,"E 030,28288","N 59,56242"
72.1,Хасанская улица,от Индустриального пр ло Белооусской ул,17999,,,"E 030,28619","N 59,56214"
72.2,,,,,,"E 030,29397","N 59,56147"
72.3,,,,,,"E 030,30044","N 59,56112"
73.1,Белорусская улица,от Хасанской ул до Косыгина пр,27443,,,"E 030,30039","N 59,56111"
73.2,,,,,,"E 030,30100","N 59,56410"
73.3,,,,,,"E 030,30134","N 59,56684"
74.1,Коммуны улица,от Шоссе Революции ло Косыгина пр,44482,,,"E 030,20291","N 59,56815"
74.2,,,,,,"E 030,29650","N 59,57404"
74.3,,,,,,"E 030,28964","N 59,58087"
75.1,Ленская улица,от Индустриального пр ло Белооус.с.к.о.й УЛ,15236,,,"E 030,29448","N 59,56422"
75.2,,,,,,"E 030,30009","N 59,56389"
75.3,,,,,,"E 030,30214","N 59,56354"
76.1,Наставников проспект,от Ириновского пр до Хасанской ул,72606,,,"E 030,49278","N 59,94427"
76.2,,,,,,"E 030,48460","N 59,95496"
76.3,,,,,,"E 030,49019","N 59,94959"
76.4,,,,,,"E 030,49189","N 59,94081"
76.5,,,,,,"E 030,49059","N 59,93646"
77.1,Косыгина проспект,от Коммуны ул,120004,,,"E 030,49180","N 59,94532"
77.2,,,,,,"E 030,50658","N 59,94513"
77.3,,,,,,"E 030,49746","N 59,94532"
77.4,,,,,,"E 030,47910","N 59,94469"
77.5,,,,,,"E 030,47052","N 59,94231"
78.1,Индустриальный проспект,от Хасанской ул ло Ириновского пр,152843,,,"E 030,47836","N 59,94675"
78.2,,,,,,"E 030,47038","N 59,95436"
78.3,,,,,,"E 030,475317","N 59,95182"
78.4,,,,,,"E 030,47952","N 59,94229"
78.5,,,,,,"E 030,47793","N 59,93775"
79.1,Энтузиастов проспект,от Передовиков гю ДО Коммуны,30755,,,"E 030,48246","N 59,94893"
79.2,,,,,,"E 030,46721","N 59,94492"
79.3,,,,,,"E 030,47547","N 59,94575"
79.4,,,,,,"E 030,49230","N 59,95155"
79.5,,,,,,"E 030,49855","N 59,95300"
80.1,Уманский проспект,от Шоссе Революции ло Анисимовской дороги,5100,,,"E 030,45465","N 59,96284"
80.2,,,,,,"E 030,45429","N 59,96134"
80.3,,,,,,"E 030,45476","N 59,96442"
81.1,Рябовское шоссе,От КАД до границ Административного Красногвардейского района,12491,,,"E 030,50612","N 59,96998"
81.2,,,,,,"E 030,50806","N 59,97948"
81.3,,,,,,"E 030,50481","N 59,96801"
81.4,,,,,,"E 030,49513","N 59,96285"