,0%,0%,0%,0%,0%,0%,0%,мг/кг,мг/кг,мг/кг,0%,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,Порода,,0%,0%,0%,0%,0%,0%,0%,мг/кг,мг/кг,мг/кг,0%,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,,
,,,,,,,,,,,,,,,,,,,,26.04.2014,"0,06506","0,619061","0,132235","0,113364","0,061908","0,742222","1,306609","76,11105","47,66816","205,0719","0,080068","1,532782","0,463507","173,1928","4,102021","6,225799","32,75384",берёза
,,,,,,,,,,,,,,,,,,,,26.05.2014,"0,03097","0,481601","0,205926","0,152941","0,330912","0,748713","2,781455","49,71797","69,04124","14,48068","0,052348","1,332667","1,721545","27,07443","0,615133","6,98455","88,81834",берёза
,,,,,,,,,,,,,,,,,,,,35.2,"0,130325","0,531212","0,39879","0,156119","0,163501","1,12326","2,034648","162,3646","170,3229","140,4171","0,173481","2,708505","3,373784","214,5481","1,449115","5,934756","57,44785",берёза
,,,,,,,,,,,,,,,,,,,,36.2,"0,085173","0,443708","0,356216","0,583386","0,100719","0,144786","4,279684","86,87228","39,59923","24,16376","0,09119","2,531405","1,848843","41,9394",<НПКО,"5,921996","54,43929",берёза
,,,,,,,,,,,,,,,,,,,,36.3,"0,227982","0,950539","0,463837","0,592115","0,61177","0,791172","4,537887","345,6918","109,4091","51,04059","0,265408","3,425547","8,394307","54,33175","1,450283","3,002934","142,892",берёза
,,,,,,,,,,,,,,,,,,,,36.4,"0,092983","0,437758","0,279217","0,270211","0,129637","1,590652","1,120755","101,3288","165,9046","139,377","0,121527","3,482637",<НПКО,"541,4153","1,547665","7,512869","92,42695",берёза
,,,,,,,,,,,,,,,,,,,,36.5,"0,066698","0,377765","0,322309","0,347022","0,062012","0,44829","3,615994","57,81493","69,3861","34,90675","0,061156","2,052645","4,418344","42,14444","0,773631","4,560482","82,56303",берёза
,,,,,,,,,,,,,,,,,,,,38.4,"0,067904","0,333082","0,337075","0,134932","0,140016","1,315565","0,843925","96,47063","85,96198","99,39086","0,112326","3,086718","-6,62501","153,4859","1,350251","10,88985","17,31533",берёза
,,,,,,,,,,,,,,,,,,,,40.3,"0,044269","0,319444","0,207166","0,15772","0,146939","1,116242","1,143718","80,2165","44,26937","32,43308","0,106591","1,283973",<НПКО,"172,9673","0,617417","8,56024","56,61688",берёза
,,,,,,,,,,,,,,,,,,,,51.1,"0,159802","1,513285","0,158218","0,235899","0,438005","0,787289","2,946511","157,7586","80,16783","36,67674","0,187151","4,175975","0,054988","49,4873","0,944662","9,219699","97,62484",берёза
,,,,,,,,,,,,,,,,,,,,51.3,"0,031742","0,420974","0,245549","0,352497","0,234161","2,798714","1,469762","43,41827","27,37682","41,61905","0,048036","1,242531",<НПКО,"150,9408","2,367811","15,13129","51,84942",берёза
,,,,,,,,,,,,,,,,,,,,51.4,"0,065094","0,379342","0,611343","0,589524","0,211527","2,904299","1,955031","87,92257","20,09366","95,87903","0,1049","3,235751","6,125753","264,4312","5,200884","21,49833","94,49388",берёза
,,,,,,,,,,,,,,,,,,,,51.5,"0,075296","0,79275","0,301631","0,415321","0,257812","2,288027","2,362927","88,26837","51,95663","56,9345","0,102382","2,776634","1,168461","215,192","3,041383","14,82743","79,32254",берёза
,,,,,,,,,,,,,,,,,,,,53.5,"0,254199","1,215475","0,245728","0,39025","0,450584","2,096175","2,261162","350,9884","71,50467","151,5779","0,33018","3,677429","8,134359","51,35373","6,224006","11,84926","127,2562",берёза
,,,,,,,,,,,,,,,,,,,,55.3,"0,062286","0,454827","0,283825","0,260525","0,065301","2,265975","2,287254","90,07161","153,5731","107,7102","0,113281","3,35226","4,239396","297,4387","0,351345","15,41037","56,74",берёза
,,,,,,,,,,,,,,,,,,,,56,"0,103039","3,529251","0,284668","0,274442","0,649578","1,349431","5,120874","110,4097","56,83481","30,90711","0,112989","1,728648","6,064828","57,49139","4,19493","11,64724","115,6091",берёза
,,,,,,,,,,,,,,,,,,,,57.5,"0,313579","1,468897","0,201273","0,26529","0,621025","0,82498","3,008647","597,1963","92,78139","88,95517","0,457573","4,002783","11,83286","73,56565","3,246795","11,17106","95,15677",берёза
,,,,,,,,,,,,,,,,,,,,59.2,"0,210848","1,074478","0,191645","0,364588","1,348629","1,262448","2,966114","236,454","77,1793","54,77862","0,251005","6,815772","4,879562","78,1937","5,506708","5,386168","52,28525",берёза
,,,,,,,,,,,,,,,,,,,,59.3,"0,147742","3,042736","0,245549","0,281705","0,911119","2,1147","3,502801","174,6109","72,9974","97,24075","0,19002","2,913366","6,196573","125,0547","2,772369","8,818309","76,66502",берёза
,,,,,,,,,,,,,,,,,,,,61,"0,061292","0,388631","0,264195","0,178478","0,052947","2,01335","1,395707","104,4662","39,98881","26,41401","0,117091","1,455355",<НПКО,"16,90826","1,222561","10,66093","31,70342",берёза
,,,,,,,,,,,,,,,,,,,,65.1,"0,057937","0,34073","0,285895","0,219953","0,091473","1,731738","1,40845","72,34241","58,49951","93,53951","0,098279","2,041731",<НПКО,"255,3093","0,136177","9,085097","38,96998",берёза
,,,,,,,,,,,,,,,,,,,,66.3,"0,041973","2,041346","0,199715","0,389108","0,148723","0,940057","3,870594","59,59614","80,81155","90,15975","0,063572","3,128629","5,553523","664,6021","5,021351","9,532367","101,6681",берёза
,,,,,,,,,,,,,,,,,,,,67.2,"0,030991","0,227964","0,235847","0,168744","0,056286","1,089059","1,295262","39,8036","55,4766","216,1845","0,047474","3,100742",<НПКО,"264,4228","0,360842","8,329826","24,96285",берёза
,,,,,,,,,,,,,,,,,,,,67.3,"0,08111","0,695736","0,200628","0,184275","0,07724","1,079627","5,353768","91,47056","86,95206","88,47264","0,091058","2,013712","3,009415","30,35439","1,195936","4,324742","95,75471",берёза
,,,,,,,,,,,,,,,,,,,,68.2,"0,035683","0,25458","0,364366","0,159793","0,037381","0,95237","1,570939","49,70164","91,14677","64,70565","0,052525","1,356954",<НПКО,"254,0367",<НПКО,"5,999467","90,4534",берёза
,,,,,,,,,,,,,,,,,,,,68.3,"0,051276","0,296298","0,261073","0,311464","0,095391","1,068824","1,10247","84,7304","57,71428","783,6953","0,104116","2,60302",<НПКО,"296,746","0,562334","18,91754","19,56091",берёза
,,,,,,,,,,,,,,,,,,,,70,"0,10193","0,430252","0,470347","0,1358","0,246874","1,546327","2,21134","128,5341","137,2369","244,9979","0,133886","2,707433","29,40878","541,9051","2,714983","11,1491","57,15806",берёза
,,,,,,,,,,,,,,,,,,,,71.1,"0,101748","2,005726","0,21401","0,280667","0,226694","2,101079","2,182331","103,3533","47,35299","28,09735","0,136555","2,17292","-0,22936","70,36654","1,024103","7,610769","46,84901",берёза
,,,,,,,,,,,,,,,,,,,,71.2,"0,068022","0,355943","0,257577","0,142633","0,091605","0,618716","2,301119","106,9643","131,5508","101,9637","0,114204","2,854455","6,213964","177,7047","1,932882","7,456822","85,15671",берёза
,,,,,,,,,,,,,,,,,,,,71.3,"0,096037","2,515653","0,189535","0,283473","0,912874","0,041527","6,361022","114,2174","257,3643","111,0511","0,120002","2,72624","10,88924","1767,833","4,588969","5,246311","227,8709",берёза
,,,,,,,,,,,,,,,,,,,,72.1,"0,121887","1,638059","0,14969","0,161954","0,705033","0,883792","3,249544","164,4897","72,45477","80,68961","0,156725","3,011236","5,484463","51,20315","3,189042","5,143028","105,8614",берёза
,,,,,,,,,,,,,,,,,,,,72.2,"0,076366","0,402861","0,199428","0,154408","0,202473","0,992875","1,712339","117,2545","74,89141","127,4866","0,125572","3,410927","6,360783","94,09204","1,863816","7,269619","43,75591",берёза
,,,,,,,,,,,,,,,,,,,,72.3,"0,099126","1,02046","0,174559","0,158181","0,453753","0,938333","2,480942","140,8721","73,67309","104,0881","0,141148","3,211081","5,922623","72,6476","2,526429","6,206323","74,80866",берёза
,,,,,,,,,,,,,,,,,,,,76.2,"0,037726","0,271795","0,300973","0,210878","0,115647","1,204721","1,294948","60,91866","55,12129","162,2504","0,073343","2,465466",<НПКО,"172,0168","1,631298","8,170622","45,72997",берёза
,,,,,,,,,,,,,,,,,,,,76.3,"0,042035","0,279282","0,279179","0,213864","0,072945","1,265019","1,448294","64,15478","57,76281","113,8644","0,072666","4,390916",<НПКО,"391,5502","0,561245","7,113329","42,33814",берёза
,,,,,,,,,,,,,,,,,,,,76.5,"0,060423","0,327653","0,30243","0,183382","0,073235","1,102465","0,995704","71,81154","117,4948","86,45536","0,081754","3,075859",<НПКО,"143,1045","0,588376","7,493806","26,54422",берёза
,,,,,,,,,,,,,,,,,,,,77.4,"0,056851","0,294999","0,313239","0,224517","0,071518","0,971222","1,334748","68,91119","68,72517","114,6498","0,077438","1,591499",<НПКО,"1110,22","1,585017","8,11211","26,12549",берёза
,,,,,,,,,,,,,,,,,,,,77.5,"0,081531","0,645514","0,302158","0,286491","0,340738","2,210716","2,140504","85,35063","43,67206","29,16784","0,093692","1,696578",<НПКО,"46,19637","0,645572","12,96842","49,74682",берёза
,,,,,,,,,,,,,,,,,,,,78.3,"0,044506","0,281315","0,256643","0,171705","0,135297","1,045747","1,225762","103,714","101,8114","118,6012","0,095277","2,773177","1,175741","205,6539","2,08113","6,957339","34,60799",берёза
,,,,,,,,,,,,,,,,,,,,78.4,"0,070838","0,356422","0,257355","0,130333","0,098225","0,790146","1,738748","102,1328","99,47487","52,58619","0,108604","1,746959",<НПКО,"166,9434","1,319098","5,708858","74,03394",берёза
,,,,,,,,,,,,,,,,,,,,78.5,"0,0252","0,236495","0,432892","0,230728","0,105328","1,221741","1,618421","44,05403","47,83243","67,25134","0,049601","1,317706",<НПКО,"270,5643",<НПКО,"13,67129","57,96623",берёза
,,,,,,,,,,,,,,,,,,,,79.1,"0,053023","0,358539","0,373381","0,36205","0,174297","2,212819","2,270483","78,15926","53,49011","26,21697","0,082308","5,471153",<НПКО,"352,5981","1,965407","10,64936","64,0657",берёза
,,,,,,,,,,,,,,,,,,,,79.2,"0,040136","0,268627","0,272638","0,20115","0,097291","1,320266","1,09682","51,04131","61,80478","146,8688","0,058981","1,947627","1,012248","355,095","0,535242","6,991149","25,4043",берёза
,,,,,,,,,,,,,,,,,,,,79.5,"0,081259","0,411264","0,346111","0,247789","0,959555","2,441664","0,97443","97,79009","29,34004","23,67543","0,09902","3,334516","2,102959","69,44342","1,46876","10,51322","19,12486",берёза
,,,,,,,,,,,,,,,,,,,,81.1,"0,254627","0,993709","0,210631","0,330973","0,783454","1,911007","2,061594","415,1367","92,91177","234,4569","0,400369","5,426751","8,047959","127,4976","5,52142","17,72577","62,59108",берёза
,,,,,,,,,,,,,,,,,,,,81.2,"0,109317","0,481842","0,337506","0,154139","0,078372","0,51976","3,814617","159,9679","263,1479","177,3559","0,148645","2,097062","3,38456","538,9016","0,264996","10,77567","75,03021",берёза
,,,,,,,,,,,,,,,,,,,,81.4,"0,252677","0,979361","0,268077","0,182249","0,205779","1,396911","1,7816","447,6012","148,7189","227,4764","0,482566","3,872703","2,90052","391,5157","2,072249","14,56587","46,69717",берёза
,,,,,,,,,,,,,,,,,,,,,"0,770122",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,448417",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,991986",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,238592",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,483324",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,994999",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,970073",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,19291",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,337535",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,971516",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,592074",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"0,555148",,,,,,,,,,,,,,,,,